AÑO,DEPARTAMENTO,POBLACIÓN,TASA_MATRICULACIÓN,COBERTURA_NETA,COBERTURA_NETA_TRANSICIÓN,COBERTURA_NETA_PRIMARIA,COBERTURA_NETA_SECUNDARIA,COBERTURA_NETA_MEDIA,COBERTURA_BRUTA,COBERTURA_BRUTA_TRANSICIÓN,COBERTURA_BRUTA_PRIMARIA,COBERTURA_BRUTA_SECUNDARIA,COBERTURA_BRUTA_MEDIA,TAMAÑO_PROMEDIO_DE_GRUPO,SEDES_CONECTADAS_A_INTERNET,DESERCIÓN,DESERCIÓN_TRANSICIÓN,DESERCIÓN_PRIMARIA,DESERCIÓN_SECUNDARIA,DESERCIÓN_MEDIA,APROBACIÓN,APROBACIÓN_TRANSICIÓN,APROBACIÓN_PRIMARIA,APROBACIÓN_SECUNDARIA,APROBACIÓN_MEDIA,REPROBACIÓN,REPROBACIÓN_TRANSICIÓN,REPROBACIÓN_PRIMARIA,REPROBACIÓN_SECUNDARIA,REPROBACIÓN_MEDIA,REPITENCIA,REPITENCIA_TRANSICIÓN,REPITENCIA_PRIMARIA,REPITENCIA_SECUNDARIA,REPITENCIA_MEDIA
2011,Antioquia,1288473,9401,9385,7028,9412,7568,4437,10681,8569,1175,11081,8406,2747,7448,397,362,365,457,371,9398,7,9456,457,9333,206,7,9456,254,296,425,7,456,527,168
2011,Atlántico,523935,9932,9905,5059,9893,8022,5017,10788,8419,12041,10789,8798,2442,8046,276,26,306,242,261,967,12,9649,242,9664,54,12,9649,67,75,182,12,177,218,88
2011,"Bogotá, D.C.",1479334,907,9029,6863,8699,847,5501,9778,8204,9794,10648,8776,2675,9421,395,1005,53,196,255,9605,0,9469,196,9745,0,0,9469,0,0,323,0,23,511,257
2011,Bolívar,496676,9157,914,5974,9081,6734,3917,11041,9882,12645,10815,8064,208,3012,314,185,293,379,313,9476,46,9548,379,932,21,46,9548,275,367,443,46,444,537,228
2011,Boyacá,300501,8616,8611,6336,825,7465,4909,10415,7887,9988,11978,9476,2277,2526,307,24,224,403,351,942,17,961,403,9323,273,17,961,431,326,262,17,19,419,155
2011,Caldas,201185,8704,8698,6499,8386,7341,4538,9813,7719,10362,10393,837,226,3474,413,435,392,487,282,9062,3,9159,487,9204,525,3,9159,725,515,467,3,415,655,307
2011,Caquetá,124148,8878,8876,5898,9031,5731,2544,10603,852,13059,1016,6035,2321,801,364,339,356,391,339,9606,5,9634,391,9345,3,5,9634,8,315,417,5,37,58,287
2011,Cauca,328682,8635,8621,5201,8794,6158,3044,9803,8182,11783,9424,6587,1829,297,275,187,196,391,36,9253,117,9277,391,9177,472,117,9277,464,463,209,117,175,313,157
2011,Cesar,263789,9475,9457,6596,9522,6647,3498,11047,10565,12953,10596,7307,2058,2902,707,517,736,762,542,9054,46,9102,762,908,239,46,9102,374,378,167,46,157,219,97
2011,Córdoba,405431,9453,9446,6718,9322,6879,3716,11108,10369,12571,11067,7866,2016,3526,459,545,408,53,41,9429,22,9513,53,9319,112,22,9513,137,271,407,22,418,453,243
